 j=            0
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            1
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            2
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            3
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            4
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            5
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=            6
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  -1.00000000000000       0.000000000000000E+000  0.000000000000000E+000
